,sender,receiver,time
162,Ike18,Ike09,835.0054688888889
163,Ike09,Ike05,835.1767347222222
164,Ike09,Ike18,835.37898
165,Ike18,Ike09,835.4366794444444
166,Ike09,Ike18,835.5040925
167,Ike22,Ike15,837.6163625
168,Ike15,Ike02,838.3816130555556
169,Ike15,Ike14,838.4802891666667
170,Ike17,Ike15,838.5675194444444
171,Ike22,Ike15,840.0828486111111
172,Ike07,Ike15,840.3109108333333
173,Ike10,Ike15,840.3564377777777
174,Ike08,Ike15,840.3645325
175,Ike14,Ike15,840.5037522222223
176,Ike13,Ike17,840.6689336111111
177,Ike13,Ike17,856.5250655555556
178,Ike22,Ike15,856.6420375
179,Ike22,Ike15,857.8233961111112
180,Ike21,Ike15,863.1730963888889
181,Ike13,Ike04,863.2936572222222
182,Ike15,Ike14,863.6832219444444
183,Ike13,Ike17,863.9428063888889
184,Ike13,Ike17,864.1018516666667
185,Ike13,Ike11,864.3371433333333
186,Ike08,Ike15,865.1443408333333
187,Ike11,Ike13,868.1349341666667
188,Ike15,Ike13,878.7367836111112
189,Ike13,Ike09,904.6754658333333
190,Ike10,Ike12,905.1631175
191,Ike07,Ike08,909.5970841666667
192,Ike09,Ike13,910.1610466666667
193,Ike04,Ike13,911.814915
194,Ike09,Ike18,912.6541138888889
195,Ike15,Ike06,913.1330719444444
196,Ike16,Ike15,913.1484597222222
197,Ike16,Ike15,913.1530747222222
198,Ike18,Ike09,913.1925080555555
199,Ike09,Ike18,913.2059183333333
200,Ike13,Ike09,913.3514113888889
201,Ike13,Ike17,913.5920966666666
202,Ike14,Ike13,933.1400808333333
203,Ike03,Ike12,934.1237261111111
204,Ike18,Ike12,934.7152438888888
205,Ike13,Ike14,935.1559905555556
206,Ike14,Ike13,935.1729344444444
207,Ike12,Ike18,938.7681380555556
208,Ike12,Ike03,938.7900252777778
209,Ike14,Ike10,963.8294077777778
210,Ike07,Ike17,963.9745572222222
211,Ike08,Ike17,964.3400236111111
212,Ike08,Ike07,964.7044552777778
213,Ike07,Ike08,967.6445875
